title	group
"A transposon insertion in FLOWERING LOCUS T is associated with delayed flowering in Brassica rapa"	./data
"Biofumigation using a wild Brassica oleracea accession with high glucosinolate content affects beneficial soil invertebrates"	./data
"Isolation and identification of 4-α-rhamnosyloxy benzyl glucosinolate in Noccaea caerulescens showing intraspecific variation"	./data
"Quantitative trait loci and candidate genes underlying genotype by environment interaction in the response of Arabidopsis thaliana to drought"	./data
"Disaggregating polyploidy, parental genome dosage and hybridity contributions to heterosis in Arabidopsis thaliana"	./data
"Gomphrena claussenii, a novel metal-hypertolerant bioindicator species, sequesters cadmium, but not zinc, in vacuolar oxalate crystals"	./data
"Natural genetic variation for acclimation of photosynthetic light use efficiency to growth irradiance in Arabidopsis"	./data
"Comparative transcriptome analysis of the metal hyperaccumulator Noccaea caerulescens"	./data
"Natural variation in phosphorylation of photosystem II proteins in Arabidopsis thaliana: Is it caused by genetic variation in the STN kinases?"	./data
"Genotype-environment interactions affecting preflowering physiological and morphological traits of Brassica rapa grown in two watering regimes"	./data
"Genotype × environment interaction QTL mapping in plants: Lessons from Arabidopsis"	./data
"Nicotianamine secretion for zinc excess tolerance"	./data
"Natural variation in phosphorylation of photosystem II proteins in Arabidopsis thaliana: is it caused by genetic variation in the STN kinases?"	./data
"Gene expression differences between noccaea caerulescens ecotypes help to identify candidate genes for metal phytoremediation"	./data
"Expression profiling reveals functionally redundant multiple-copy genes related to zinc, iron and cadmium responses in Brassica rapa"	./data
"Identification of seed-related QTL in Brassica rapa"	./data
"Expression of HMA4 cDNAS of the zinc hyperaccumulator noccaea caerulescens from endogenous NcHMA4 promoters does not complement the zinc-deficiency phenotype of the arabidopsis thaliana hma2hma4 double mutant"	./data
"Model of how plants sense zinc deficiency"	./data
"Genetic analysis of health-related secondary metabolites in a brassica rapa recombinant inbred line population"	./data
"Gomphrena claussenii, the first South-American metallophyte species with indicator-like Zn and Cd accumulation and extreme metal tolerance"	./data
"Plant science: The key to preventing slow cadmium poisoning"	./data
"Genetic analysis of the effect of zinc deficiency on Arabidopsis growth and mineral concentrations"	./data
"Strategies to increase zinc deficiency tolerance and homeostasis in plants"	./data
"The molecular mechanism of zinc and cadmium stress response in plants"	./data
"Genetic analysis of morphological traits in a new, versatile, rapid-cycling Brassica rapa recombinant inbred line population"	./data
"Signals of speciation within Arabidopsis thaliana in comparison with its relatives"	./data
"High throughput screening with chlorophyll fluorescence imaging and its use in crop improvement"	./data
"Opportunities and feasibilities for biotechnological improvement of Zn, Cd or Ni tolerance and accumulation in plants"	./data
"Natural genetic variation in plant photosynthesis"	./data
"Regulation of the adaptation to zinc deficiency in plants"	./data
