Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Bhargava, P.M.","India lacks scientific leadership",2012,"Science","335","6075",,"1440","",,1,10.1126/science.335.6075.1440-a,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84858768913&partnerID=40&md5=05748005b0e301f9b12a84fddb49f9b7","National Knowledge Commission, Government of India, India; National Security Advisory Board, Government of India, India; Centre for Cellular and Molecular Biology, Hyderabad, 500 007, Andhra Pradesh, India","Bhargava, P.M., National Knowledge Commission, Government of India, India, National Security Advisory Board, Government of India, India, Centre for Cellular and Molecular Biology, Hyderabad, 500 007, Andhra Pradesh, India",[No abstract available],,"human; India; leadership; letter; mysticism; priority journal; science; scientist; social behavior",,,,,,,"Bhargava, P.M.; National Knowledge Commission, Government of IndiaIndia; email: bhargava.pm@gmail.com",,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Science",Letter,Scopus,2-s2.0-84858768913
"Rao, K.A., Srinivas, M.S., Kottur, A., Majumdar, P.P., Bhargava, P.M.","Social isolation following embryo transfer increases success rates in IVF and ICSI cycles",2012,"International Journal of Infertility and Fetal Medicine","3","1",,"8","14",,,10.5005/jp-journals-10016-1033,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84860335482&partnerID=40&md5=d6bac54d8b7448ff2dbdb1f114fb26a7","Bangalore Assisted Conception Centre Private Limited, Bengaluru, Karnataka, India; National Institute of Biomedical Genomics, Kalyani West Bengal, India; Anveshna, Andhra Pradesh, India","Rao, K.A., Bangalore Assisted Conception Centre Private Limited, Bengaluru, Karnataka, India; Srinivas, M.S., Bangalore Assisted Conception Centre Private Limited, Bengaluru, Karnataka, India; Kottur, A., Bangalore Assisted Conception Centre Private Limited, Bengaluru, Karnataka, India; Majumdar, P.P., National Institute of Biomedical Genomics, Kalyani West Bengal, India; Bhargava, P.M., Anveshna, Andhra Pradesh, India","Background and objective: Bruce et al had shown, during 1959 to 1968, that if, 24 hours after mating, a mouse belonging to a different inbred strain than the stud mouse was placed in the cage of the female mouse, partitioned in such a way that no physical contact of the nonstud male with the female was possible, pregnancy was blocked. We, therefore, decided to determine whether, by analogy with mice, isolation of women from all other men except the husband, for 3 days after embryo transfer following in vitro fertilization (IVF) or intracycloplasmic sperm injection (ICSI), increases the establishment of pregnancy. Method:We isolated randomly selected 729 women from all other men except the husband for 3 full days after embryo transfer following IVF/ICSI, and followed them to the end of pregnancy; 1005 randomly selected women who were treated similarly but not isolated served as the control group. Results:The establishment of clinical pregnancy as well as live births were more than 50% higher in the isolated group than in the control. Conclusion: The social isolation as mentioned above could substantially increase the success rates in IVF or ICSI. While the exact mechanism of this phenomenon is yet to be understood, one possible explanation may be, by analogy with mice, an olfactory block to implantation.","ICSI; IVF; Social isolation","adult; age distribution; article; controlled study; embryo transfer; female; fertilization; fertilization in vitro; human; human experiment; intracytoplasmic sperm injection; male; pregnancy; pregnancy outcome; social isolation; statistical analysis",,,,,,"Andersen, A.N., Gianarol, L., Nygren, K.G., Assisted reproductive technology in Europe 2000. Results generated from European registers by Eshre (2004) Hum Reprod, 19, pp. 490-503; Witsenburg, C., Dieben, S., van der Westerlaken, L., Verburg, H., Naaktgeboren, N., Cumulative live birth rates in cohorts of patients treated with in vitro fertilization or intracytoplasmic sperm injection (2005) Fertil Steril, 84, pp. 99-107; Malizia, B.A., Hacker, M.R., Penzias, A.S., Cumulative live-birth rates after in vitro fertilization (2009) New Engl J Med, 360, pp. 236-243; Remohi, J., Gartner, B., Gallardo, E., Yalil, S., Simon, C., Pellicer, A., Pregnancy and birth rates after oocyte donation (1997) Fertil Steril, 67, pp. 717-723; Macklon, N.S., Geraedts, J.P., Fauser, B.C.J.M., Conception to ongoing pregnancy: The black box of early pregnancy loss (2002) Hum Reprod Update, 8, pp. 333-343; Kovalevsky, G., Patrizio, P., High rates of embryo wastage with use of assisted reproductive technology: A look at the trends between 1995 and 2001 in the United States (2005) Fertil Steril, 84, pp. 325-330; Bruce, H.M., An exteroceptive block to pregnancy in mouse (1959) Nature, 184, p. 105; Bruce, H.M., Absence of pregnancy-block in mice when stud and test males belong to an inbred strain (1968) J Reprod Fertil, 17, pp. 407-408; Parkes, A.S., Bruce, H.M., Olfactory stimuli in mammalian reproduction (1961) Science, 134, pp. 1049-1054; Chipman, R.K., Fox, K.A., Oestrous synchronization and pregnancy blocking in wild house mice (Mus musculus) (1966) J Reprod Fertil, 12, pp. 233-236; Bowers, J.M., Alexander, B.K., Mice: Individual recognition by olfactory cues (1969) Science, 158, pp. 1208-1210; Emes, R.D., Betson, S.A., Ponting, C.P., Goodstadt, L., Evolution and comparative genomics of odorant- and pheromone-associated genes in rodents (2004) Genome Res, 14, pp. 591-602; Salumets, A., Hyden-Granskog, C., Makinen, S., Snikkari, A.M., Tittinen, A., Tuuri, T., Early cleavage predicts the viability of human embryos in elective single embryo transfer procedure (2003) Hum Reprod, 18, pp. 821-825; Diedrich, K., Diedrich, C., Santos, E., Zoll, C., Al-Hasani, S., Reissmann, T., Suppression of the endogenous luteinizing hormone surge by the gonadotrophin-releasing hormone antagonist cetrorelix during ovarian stimulation (1994) Hum Reprod, 9, pp. 788-791; Kolibianakis, E.M., Collins, J., Tarlatzis, B.C., Devroey, P., Diedrich, K., Griesinger, G., Among patients treated for IVF with gonadotrophins and GnRH analogues, is the probability of live birth dependent on the type of analogue used? A systematic review and meta-analysis (2006) Hum Reprod Update, 12, pp. 651-671; Gindes, L., Yoeli, R., Orvieto, R., Shelef, M., Ben-Rafael, Z., Bar-Hara, I., Pregnancy rate fluctuations during routine work in an assisted reproduction technology unit (2003) Hum Reprod, 18, pp. 2485-2488; Bhargava, P.M., Chakrabarti, C., The fantastic power of smell signals that permeate our environment. Do human pheromones exist? (1994) Sci Reporter, 31 (11), pp. 24-27; Wyatt, T.D., Fifty years of pheromones (2009) Nature, 457, pp. 262-263; Ober, C., Studies of HLA, fertility and mate choice in a human isolate (1999) Hum Reprod Update, 5, pp. 103-107; Roberts, S.C., Gosling, L.M., Carter, V., Petrie, M., MHC-correlated odour preferences in humans and the use of oral contraceptives (2008) Proc Roy Soc B, 275, pp. 2715-2722; Feinberg, E.C., Larsen, F.W., Catherino, W.H., Zhang, J., Armstrong, A.Y., Comparison of assisted reproductive technology utilization and outcomes between Caucasian and African American patients in an equal-access-to-care setting (2006) Fertil Steril, 85, pp. 888-894; Yoon, H., Enquist, L.W., Dulac, C., Olfactory inputs to hypothalamic neurons controlling reproduction and fertility (2005) Cell, 123, pp. 669-682","Bhargava, P. M.; Anveshna, 2-16-137/1 Road No. 3, Prashanthi Nagar, Uppal, Hyderabad-500039, Andhra Pradesh, India; email: bhargava.pm@gmail.com",,,,,,,,22293817,,,,"English","Intl. J. Infertil. Fetal Med.",Article,Scopus,2-s2.0-84860335482
"Bhargava, P.M.","India's education commercialization",2011,"Science","332","6036",,"1379","1380",,,10.1126/science.332.6036.1379-b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-79959361224&partnerID=40&md5=b85a071342254c4fbbbceae12b5ca0c2","Manorama Ghar, Anveshna, Prashanti Nagar, Hyderabad, Uppal 500 039, India","Bhargava, P.M., Manorama Ghar, Anveshna, Prashanti Nagar, Hyderabad, Uppal 500 039, India",[No abstract available],,"education; financial management; government; high school; human; India; letter; primary school; priority journal",,,,,,,"Bhargava, P. M.; Manorama Ghar, Anveshna, Prashanti Nagar, Hyderabad, Uppal 500 039, India; email: bhargava.pm@gmail.com",,,,,,,,00368075,,SCIEA,,"English","Science",Letter,Scopus,2-s2.0-79959361224
"Bhargava, P.M.","The story of Bt-brinjal in India: Why it is not required",2010,"Microbiology Today","37","3",,"174","177",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-77957775882&partnerID=40&md5=3fb8d8ff0fcd82ce20a86ee4dcc4fecb","Centre for Cellular and Molecular Biology, Hyderabad, India; National Knowledge Commission, Government of India, India; National Security Advisory Board, Government of India, India","Bhargava, P.M., Centre for Cellular and Molecular Biology, Hyderabad, India, National Knowledge Commission, Government of India, India, National Security Advisory Board, Government of India, India",[No abstract available],,"Solanum melongena",,,,,,,"Bhargava, P.M.; Centre for Cellular and Molecular Biology, Hyderabad, India; email: bhargava.pm@gmail.com",,,,,,,,14640570,,,,"English","Microbiol. Today",Article,Scopus,2-s2.0-77957775882
"Shivaji, S., Chaturvedi, P., Begum, Z., Pindi, P.K., Manorama, R., Padmanaban, D.A., Shouche, Y.S., Pawar, S., Vaishampayan, P., Dutt, C.B.S., Datta, G.N., Manchanda, R.K., Rao, U.R., Bhargava, P.M., Narlikar, J.V.","Janibacter hoylei sp. nov., Bacillus isronensis sp. nov. and Bacillus aryabhattai sp. nov., isolated from cryotubes used for collecting air from the upper atmosphere",2009,"International Journal of Systematic and Evolutionary Microbiology","59","12",,"2977","2986",,35,10.1099/ijs.0.002527-0,"http://www.scopus.com/inward/record.url?eid=2-s2.0-72149128910&partnerID=40&md5=b10ced8a0695b53e52e0fd4d55ac0b48","Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; Microbial Type Culture Collection (MTCC), Institute of Microbial Technology, Chandigarh 160 036, India; Microbial Culture Collection, National Centre for Cell Science, Pune University Campus, Ganeshkhind, Pune 411 007, India; ISRO Headquarters, Department of Space, Bangalore 560 023, India; Tata Institute of Fundamental Research, Homi Bhabha Road, Colaba, Mumbai 400 005, India; Anveshna, 12-13-100, Lane No. 1, Street No. 3, Tarnaka, Hyderabad 500 017, India; Inter-University Centre for Astronomy and Astrophysics Ganeshkhind, Post Bag 4, Pune 411 007, India","Shivaji, S., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; Chaturvedi, P., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; Begum, Z., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; Pindi, P.K., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; Manorama, R., Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; Padmanaban, D.A., Microbial Type Culture Collection (MTCC), Institute of Microbial Technology, Chandigarh 160 036, India; Shouche, Y.S., Microbial Culture Collection, National Centre for Cell Science, Pune University Campus, Ganeshkhind, Pune 411 007, India; Pawar, S., Microbial Culture Collection, National Centre for Cell Science, Pune University Campus, Ganeshkhind, Pune 411 007, India; Vaishampayan, P., Microbial Culture Collection, National Centre for Cell Science, Pune University Campus, Ganeshkhind, Pune 411 007, India; Dutt, C.B.S., ISRO Headquarters, Department of Space, Bangalore 560 023, India; Datta, G.N., ISRO Headquarters, Department of Space, Bangalore 560 023, India; Manchanda, R.K., Tata Institute of Fundamental Research, Homi Bhabha Road, Colaba, Mumbai 400 005, India; Rao, U.R., ISRO Headquarters, Department of Space, Bangalore 560 023, India; Bhargava, P.M., Anveshna, 12-13-100, Lane No. 1, Street No. 3, Tarnaka, Hyderabad 500 017, India; Narlikar, J.V., Inter-University Centre for Astronomy and Astrophysics Ganeshkhind, Post Bag 4, Pune 411 007, India","Three novel bacterial strains, PVAS-1T, B3W22T and B8W22T, were isolated from cryotubes used to collect air samples at altitudes of between 27 and 41 km. Based on phenotypic characteristics, chemotaxonomic features, DNA-DNA hybridization with the nearest phylogenetic neighbours and phylogenetic analysis based on partial 16S rRNA gene sequences (PVAS-1T, 1196 nt; B3W22T, 1541 nt; B8W22T, 1533 nt), the three strains were identified as representing novel species, and the names proposed are Janibacter hoylei sp. nov. (type strain PVAS-1T =MTCC 8307T =DSM 21601T =CCUG 56714T), Bacillus isronensis sp. nov. (type strain B3W22T =MTCC 7902T =JCM 13838T) and Bacillus aryabhattai sp. nov. (type strain B8W22T =MTCC 7755T =JCM 138939T. © 2009 IUMS.",,"bacterial DNA; RNA 16S; air sampling; altitude; article; atmosphere; Bacillus; Bacillus aryabhattai; Bacillus isronensis; bacterial strain; bacterium identification; bacterium isolate; chemotaxonomy; controlled study; cryotube; DNA DNA hybridization; gene sequence; Janibacter hoylei; new species; nonhuman; nucleotide sequence; phenotype; phylogeny; priority journal; tube; Actinomycetales; Air; Air Microbiology; Bacillus; DNA, Bacterial; DNA, Ribosomal; Equipment and Supplies; Molecular Sequence Data; Phylogeny; RNA, Ribosomal, 16S; Bacillus (bacterium); Bacteria (microorganisms); Janibacter","GENBANK: AF233338, AJ006086, AJ293463, AY837752, CP001298, D16273, DQ317608, DQ317608, DQ491453, EF114311, EF114311, EF114313, EF114313, EF488975, FJ263931, FM210755","DNA, Bacterial; DNA, Ribosomal; RNA, Ribosomal, 16S",,,,"Bruch, C. W. (1967). Microbes in the upper atmosphere and beyond. In Airborne Microbes (Society for General Microbiology Symposium no. 17), pp. 345-373. Edited by P. H. Gregory & J. L. Monteith. Cambridge: Cambridge University PressCollins, M.D., Pirouz, T., Goodfellow, M., Minnikin, D.E., Distribution of menaquinones in actinomycetes and corynebacteria (1977) J Gen Microbiol, 100, pp. 221-230; Felsenstein, J, 1993, PHYLIP phylogeny inference package, version 3.5c. Distributed by the author. Department of Genome Sciences, University of Washington, Seattle, USAFromm, M., Bevilacqua, R., Stocks, B., Servanckx, R., New directions: Eruptive transport to the stratosphere: add fire-convection to volcanoes (2004) Atmos Environ, 38, pp. 163-165; Gladman, B.J., Burns, J.A., Duncan, M., Lee, P., Levinson, H.F., The exchange of impact ejecta between terrestrial planets (1996) Science, 271, pp. 1387-1392; Greene, V.W., Pederson, P.D., Lundgren, D.A., Hagberg, C.A., Microbiological exploration of stratosphere: Results of six experimental flights (1964) Proceedings of the Atmospheric Biology Conference, pp. 199-211. , University of Minnesota, 13-15 April, Washington, DC: National Aeronautics and Space Administration; Harris, M. J., Wickramasinghe, N. C., Lloyd, D., Narlikar, J. V., Rajaratnam, P., Turner, M. P., Al-Mufti, S., Wallis, M. K., Ramadurai, S. & Hoyle, F. (2002). Detection of living cells in stratospheric samples. In Instruments, Methods, and Missions for Astrobiology IV (Proceedings of the SPIE Conference 2001, 4495), pp. 192-198. Edited by R. B. Hoover, G. V. Levin, R. R. Paepe & A. Y. Rozanov. Bellingham, WA: SPIEHolding, A.J., Collee, J.G., Routine biochemical tests (1971) Methods Microbiol, 6 A, pp. 2-32; Hoyle, F., Wickramasinghe, N.C., The case for life as a cosmic phenomenon (1986) Nature, 322, pp. 509-511; Hoyle, F., Wickramasinghe, N.C., (1993) Our Place in the Cosmos, , London: J. M. Dent; Hoyle, F., Wickramasinghe, N.C., (1999) Astronomical Origins of Life: Steps Towards Panspermia, , Dordrecht: Kluwer; Imshenetsky, A.A., Lysenko, S.V., Kazakov, G.A., Upper boundary of the biosphere (1978) Appl Environ Microbiol, 35, pp. 1-5; Kageyama, A., Takahashi, Y., Yasumoto-Hirose, M., Kasai, H., Shizuri, Y., Omura, S., Janibacter corallicola sp. nov., isolated from coral in Palau (2007) J Gen Appl Microbiol, 53, pp. 185-189; Kämpfer, P., Terenius, O., Lindh, J.M., Faye, I., Janibacter anophelis sp. nov., isolated from the midgut of Anopheles arabiensis (2006) Int J Syst Evol Microbiol, 56, pp. 389-392; Kimura, M., A simple method for estimating evolutionary rates of base substitutions through comparative studies of nucleotide sequences (1980) J Mol Evol, 16, pp. 111-120; Kiran, M.D., Prakash, J.S.S., Annapoorni, S., Dube, S., Kusano, T., Okuyama, H., Murata, N., Shivaji, S., Psychrophilic Pseudomonas syringae requires trans-monounsaturated fatty acid for growth at higher temperature (2004) Extremophiles, 8, pp. 401-410; Komagata, K., Suzuki, K., Lipid and cell-wall analysis in bacterial systematics (1987) Methods Microbiol, 19, pp. 161-207; Kumar, S., Tamura, K., Nei, M., MEGA3: Integrated software for molecular evolutionary genetics analysis and sequence alignment (2004) Brief Bioinform, 5, pp. 150-163; Lang, E., Kroppenstedt, R.M., Swiderski, J., Schumann, P., Ludwig, W., Schmid, A., Weiss, N., Emended description of Janibacter terrae including ten dibenzofuran-degrading strains and Janibacter brevis as its later heterotypic synonym (2003) Int J Syst Evol Microbiol, 53, pp. 1999-2005; Lysenko, S.V., Microorganisms of the upper layers of the atmosphere (1979) Mikrobiologiia, 48, pp. 1066-1074. , in Russian; Mileikowsky, C., Cucinotta, F.A., Wilson, J.W., Gladman, B., Horneck, G., Lindegren, L., Melosh, J., Zheng, J.Q., Natural transfer of viable microbes in space (2000) Icarus, 145, pp. 391-427; Nicholson, W.L., Munakata, N., Horneck, G., Melosh, H.J., Setlow, P., Resistance of Bacillus endospores to extreme terrestrial and extraterrestrial environments (2000) Microbiol Mol Biol Rev, 64, pp. 548-572; Pasko, V.P., Stanley, M.A., Mathews, J.D., Inan, U.S., Wood, T.G., Electrical discharge from thundercloud tops to the lower ionosphere (2002) Nature, 416, pp. 152-154; Pidiyar, V.J., Jangid, K., Patole, M.S., Shouche, Y.S., Studies on cultured and uncultured microbiota of wild Culex quinquefasciatus mosquito midgut based on 16S ribosomal RNA gene analysis (2004) Am J Trop Med Hyg, 70, pp. 597-603; Reddy, G.S.N., Prakash, J.S.S., Prabahar, V., Matsumoto, G.I., Stackebrandt, E., Shivaji, S., Kocuria polaris sp. nov., an orange-pigmented psychrophilic bacterium isolated from an Antarctic cyanobacterial mat sample (2003) Int J Syst Evol Microbiol, 53, pp. 183-187; Rogers, L.A., Meier, F.C., (1936) US Army Air Corps Stratosphere Flight of 1935 in the Balloon Explorer II, pp. 146-151. , pp, Edited by L. J. Briggs. Washington, DC: National Geographic Society; Rohatschek, H., Levitation of stratospheric and mesophilic aerosols by gravito-photophoresis (1996) J Aerosol Sci, 27, pp. 467-475; Saitou, N., Nei, M., The neighbor-joining method: A new method for reconstructing phylogenetic trees (1987) Mol Biol Evol, 4, pp. 406-425; Sato, N.S., Murata, N., Membrane lipids (1988) Methods Enzymol, 167, pp. 251-259; Shivaji, S., Ray, M.K., Rao, N.S., Saisree, L., Jagannadham, M.V., Kumar, G.S., Reddy, G.S.N., Bhargava, P.M., Sphingobacterium antarcticus sp. nov., a psychrotrophic bacterium from the soils of Schirmacher Oasis, Antarctica (1992) Int J Syst Bacteriol, 42, pp. 102-116; Shivaji, S., Bhanu, N.V., Aggarwal, R.K., Identification of Yersinia pestis as the causative organism of plague in India as determined by 16S rDNA sequencing and RAPD-based genomic fingerprinting (2000) FEMS Microbiol Lett, 189, pp. 247-252; Shivaji, S., Chaturvedi, P., Reddy, G.S.N., Suresh, K., Pedobacter himalayensis sp. nov., from the Hamta glacier located in the Himalayan mountain ranges of India (2005) Int J Syst Evol Microbiol, 55, pp. 1083-1088; Shivaji, S., Chaturvedi, P., Suresh, K., Reddy, G.S.N., Rajaratnam, P., Wainwright, M., Narlikar, J.V., Bhargava, P.M., Bacillus aerius sp. nov., Bacillus aerophilus sp. nov., Bacillus stratosphericus sp. nov. and Bacillus altitudinis sp. nov., isolated from cryogenic tubes used for collecting air samples from high altitudes (2006) Int J Syst Evol Microbiol, 56, pp. 1465-1473; Smibert, R.M., Krieg, N.R., Phenotypic characterization (1994) Methods for General and Molecular Bacteriology, pp. 607-654. , Edited by P. Gerhardt, R. G. E. Murray, W. A. Wood & N. R. Krieg. Washington, DC: American Society for Microbiology; Thompson, J.D., Higgins, D.G., Gibson, T.J., CLUSTAL W: Improving the sensitivity of progressive multiple sequence alignment through sequence weighting, position-specific gap penalties and weight matrix choice (1994) Nucleic Acids Res, 22, pp. 4673-4680; Tourova, T.P., Antonov, A.S., Identification of microorganisms by rapid DNA-DNA hybridization (1987) Methods Microbiol, 19, pp. 333-355; Wainwright, M., Wickramasinghe, N.C., Narlikar, J.V., Rajaratnam, P., Microorganisms cultured from stratospheric air samples obtained at 41 km (2003) FEMS Microbiol Lett, 218, pp. 161-165; Yoon, J.H., Lee, H.B., Yeo, S.H., Choi, J.E., Janibacter melonis sp. nov., isolated from abnormally spoiled oriental melon Korea (2004) Int J Syst Evol Microbiol, 54, pp. 1975-1980","Shivaji, S.; Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India; email: shivas@ccmb.res.in",,,,,,,,14665026,,ISEMF,19643890,"English","Int. J. Syst. Evol. Microbiol.",Article,Scopus,2-s2.0-72149128910
"Bhargava, P.M.","Insufficient regulatory supervision prior to release of genetically modified crops for commercial cultivation in India",2009,"Journal of Biosciences","34","2",,"167","168",,1,10.1007/s12038-009-0018-2,"http://www.scopus.com/inward/record.url?eid=2-s2.0-69249193237&partnerID=40&md5=896f4db19c0a4253938418599696e28e","Anveshna 1-7-24, S S Nagar, Street No. 8, Habsiguda, Hyderabad 500 007, India","Bhargava, P.M., Anveshna 1-7-24, S S Nagar, Street No. 8, Habsiguda, Hyderabad 500 007, India",[No abstract available],"Field trials; GM crops; Monitoring; Regulatory supervision; Risk assesment","agricultural worker; allergenicity; India; law; note; punishment; risk assessment; tillage; transgenic crop; Biotechnology; Crops, Agricultural; Ecosystem; Government Regulation; India; International Cooperation; Plants, Genetically Modified; Risk Assessment",,,,,,,"Bhargava, P. M.Anveshna 1-7-24, S S Nagar, Street No. 8, Habsiguda, Hyderabad 500 007, India; email: bhargava.pm@gmail.com",,,,,,,,02505991,,JOBSD,19550030,"English","J. Biosci.",Note,Scopus,2-s2.0-69249193237
"Bhargava, P.M., Suresh, N.","Editorial: Biotech in India - History, present and promises",2009,"Biotechnology Journal","4","3",,"286","287",,1,10.1002/biot.200900041,"http://www.scopus.com/inward/record.url?eid=2-s2.0-64549157703&partnerID=40&md5=13a1dbd439acbd2b22f6f227c0e5ecd0",,"Bhargava, P.M.; Suresh, N.",[No abstract available],,"alcoholic beverage; biotechnology; clinical research; developing country; DNA fingerprinting; editorial; food industry; genetic engineering; government; India; laboratory; priority journal; standardization; validation process; Biotechnology; History, 20th Century; History, 21st Century; India",,,,,,,"Bhargava, P.M., Hyderabad, India; email: bhargava.pm@gmail.com",,,,,,,,18606768,,,19296445,"English","Biotechnol. J.",Editorial,Scopus,2-s2.0-64549157703
"Bhargava, P.M.","Biotechnology in India: The beginnings",2009,"Biotechnology Journal","4","3",,"313","318",,,10.1002/biot.200800327,"http://www.scopus.com/inward/record.url?eid=2-s2.0-64549085641&partnerID=40&md5=ee8d77c7809535b75e19f1cd05744865","Centre for Cellular and Molecular Biology (CCMB), Hyderabad 500 017, India","Bhargava, P.M., Centre for Cellular and Molecular Biology (CCMB), Hyderabad 500 017, India",[No abstract available],"History of biotechnology; India","anatomy; article; biochemistry; bioinformatics; biological warfare; biology; bioremediation; biosensor; biotechnology; chemistry; cloning; drug delivery system; enzyme engineering; fermentation; gene therapy; genetic engineering; government; history; India; nanotechnology; nonhuman; nutrition; priority journal; reproduction; science; tissue culture; Agriculture; Biotechnology; History, 20th Century; History, 21st Century; India; Private Sector; Research; Research Support as Topic",,,,,,"Bhargava, P.M., Chakrabarti, C., (2003) The Saga of Indian Science since Independence, , Universities Press (India) Private Limited, Hyderabad; Bhargava, P.M., Chakrabarti, C., The role and present status of biotechnology in India: A commentary (1991) Current Science, 61, pp. 509-512; Suresh, N., (2009) Biotechnol J, 4, pp. 291-294; Suresh, N., Rao, C.S., (2009) Biotechnol J, 4, pp. 295-300","Bhargava, P.M.; Centre for Cellular and Molecular Biology (CCMB), Hyderabad 500 017, India; email: bhargava.pm@gmail.com",,,,,,,,18606768,,,19296452,"English","Biotechnol. J.",Article,Scopus,2-s2.0-64549085641
"Bhargava, P.M.","On the organisation of science research in India",2008,"Economic and Political Weekly","43","31",,"70","71",,1,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874380347&partnerID=40&md5=1f0d78bbe91255458d2e6621ba7e1da7",,"Bhargava, P.M.","Gautam Desiraju's tirade against research institutions outside of the conventional universities is hopelessly wrong, both in his facts and in his conclusions.",,,,,,,,,"Bhargava, P.M., Hyderabad, India; email: bhargava.pm@gmail.com",,,,,,,,00129976,,,,"English","Econ. Polit. Wkly.",Review,Scopus,2-s2.0-84874380347
"Bhargava, P.M.","Revamping higher education",2007,"Economic and Political Weekly","42","29",,"3060","3063",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84874392383&partnerID=40&md5=da8f23b6c467775b9e8302ac1a558afa",,"Bhargava, P.M.",[No abstract available],,,,,,,,,"Bhargava, P.M.email: bhargava.pm@gmail.com",,,,,,,,00129976,,,,"English","Econ. Polit. Wkly.",Note,Scopus,2-s2.0-84874392383
